_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3161164,323778917,23167834,0,2023-10-22T11:15:00,"1700 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.91647272271906,40.43775859425917
3161165,323779038,23167874,0,2023-10-22T12:40:00,"300 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9994 PFA Service,2019,7,2,-79.95794766796888,40.467383013699234
3161166,323782911,23167854,6,2023-10-22T12:17:00,"100 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1914,2,5,-80.00916642115358,40.42704891465456
3161167,323783441,23167906,27,2023-10-22T09:30:00,"20 Block S 12th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,,,,
3161168,323787607,23167395,6,2023-10-21T16:29:00,"800 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.99891918859558,40.442686358914685
3161169,323787979,23167928,1,2023-10-22T14:58:00,"N Homewood Ave & Finance St Pittsburgh, PA 15208",N,Homewood South,5,CRIMINAL HOMICIDE,2501 Criminal Homicide.,1303,9,2,-79.89860488393487,40.45304682883226
3161170,323789383,23167990,18,2023-10-22T18:25:00,"Watson St & Marion St Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,103,6,3,-79.98416429312319,40.438084483034174
3161171,323792686,23167996,99,2023-10-22T18:35:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",N,Beechview,6,AIDED CASE,9497 Aided Case,1920,4,5,-80.0254967571288,40.39919261132081
3161172,323797238,23168032,27,2023-10-22T20:36:00,"Sarah St & S 24th St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.97143037193561,40.42729091014033
3161173,323799266,23168077,99,2023-10-22T22:27:00,"200 Block Village Rd Pittsburgh, PA 15205",N,Fairywood,6,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2808,2,5,-80.07852475149556,40.45125147411032
3161174,323800665,23168139,99,2023-10-23T00:25:00,"400 Block Parklow St Pittsburgh, PA 15210",N,Knoxville,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,3001,3,5,-79.9955694203358,40.41298892084298
3161175,323324248,23163778,0,2023-10-15T05:21:00,"300 Block Dengler St Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.96781288996675,40.41473282957609
3161176,323328741,23163837,18,2023-10-15T10:10:00,"Knox Ave & Orchard Pl Pittsburgh, PA 15210",Y,Knoxville,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 1301 Registration and Certificate of Title Required. / 1786 Required Financial Responsibility. / 3334 Turning Movements and Required Signals.,3001,3,5,-79.99069607141676,40.41807368302844
3161177,-3646520875,23163871,6,2023-10-15T10:07:00,"Bingham St & Bedford Sq Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1702,3,3,-79.98667830408753,40.42941928558303
3161178,323331612,23163875,0,2023-10-15T11:05:00,"50 Block Van Braam St Pittsburgh, PA 15219",N,Bluff,2,99,473.02 (b) Deposit or Dump Trash,103,6,3,-79.98270807081924,40.43692260405567
3161179,323343743,23164001,0,2023-10-15T17:08:00,"900 Block Berry St Pittsburgh, PA 15204",Y,Sheraden,6,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,2022,2,5,-80.05551869002412,40.4522957268724
3161180,323355685,23164140,6,2023-10-15T23:41:00,"1000 Block Herschel St Pittsburgh, PA 15220",N,Elliott,6,THEFT FROM AUTO,3934 Theft from Vehicle,2020,2,5,-80.04438755828896,40.44169026505238
3161181,323359425,23164220,5,2023-10-16T04:25:00,"4000 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,BURGLARY,3502 Burglary.,903,7,2,-79.95725055025468,40.46282248753833
3161182,324749671,23176086,0,2023-11-05T18:15:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): ,305,6,3,-79.97998240539275,40.44358891030736
3161183,324746058,23176006,14,2023-11-05T16:05:00,"1000 Block Parkview Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1414,5,3,-79.90992218433016,40.424657632586644
3161184,324750119,23176087,6,2023-11-05T17:30:00,"300 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,507,6,3,-79.95384881540078,40.451709417604974
3161185,324751610,23176126,10,2023-11-05T20:21:00,"1000 Block Shady Ave Pittsburgh, PA 15232",N,Point Breeze,4,SIMPLE ASSAULT,2701 Simple Assault. / 607.03 Discharging Firearm or Airgun,1404,,,,
3161186,324752881,23175754,10,2023-11-05T01:02:00,"7700 Block Hamilton Ave Pittsburgh, PA 15221",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1304,9,2,-79.88909220258323,40.45256859193237
3161187,-3532085965,23176148,0,2023-11-05T21:53:00,"3600 Block Wind Gap Ave Pittsburgh, PA 15204",Y,Fairywood,6,99,8106 Shots Fired,2808,,,,
3161188,324760254,23176203,27,2023-11-06T01:05:00,"200 Block Essen St Pittsburgh, PA 15214",N,Spring Hill-City View,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2620,1,1,-80.00254947105284,40.47307668066808
3161189,-3699000373,23176174,0,2023-11-05T23:23:00,"Bennett St & Collier St Pittsburgh, PA 15208",Y,Homewood South,5,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3325 Duty of Driver on Approach of Emergency Vehicle. / 3714 Careless Driving / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3301 Arson  / 1543 Driving While Operating Privilege is Suspended or Revoked.,1303,9,2,-79.89226853946305,40.45547091783259
3161190,324759563,23171961,0,2023-10-29T05:05:00,"Baum Blvd & Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,99,3742.1 Accident Involv. Death/Inj. While not Licensed / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4581 Restraint Systems.,804,7,2,-79.93964316707483,40.45663498367191
3161191,323516401,23165251,6,2023-10-17T23:48:00,"600 Block Edgemont St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1807,,,,
3161192,323528453,23165351,10,2023-10-18T06:55:00,"2200 Block Broadway Ave Pittsburgh, PA 15216",Y,Beechview,6,SIMPLE ASSAULT,2701 Simple Assault.,1920,4,5,-80.03068295299934,40.40378969080835
3161193,323575839,23165598,14,2023-10-18T12:00:00,"200 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,705,8,2,-79.92529613194029,40.45875585891225
3161194,322910159,23160616,26,2023-10-09T14:22:00,"3000 Block Liberty Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,603,7,6,-79.9714262593693,40.4583634275947
3161195,322924846,23160726,9,2023-10-09T17:38:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",Y,Homewood North,5,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,1302,9,2,-79.89630114868066,40.457404658847054
3161196,322926698,23160646,6,2023-10-09T06:00:00,"400 Block Hallock St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT FROM AUTO,3934 Theft from Vehicle,1911,2,5,-80.01871679477206,40.43245298114575
3161197,322927561,23160799,14,2023-10-09T20:30:00,"400 Block Parallel Ave Pittsburgh, PA 15210",N,Carrick,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 901 Criminal Attempt / 3503(b.1)(1)(iii) Criminal Trespass/Simple Trespasser - Defacing or Damaging the Premises,2902,4,3,-79.98099747837612,40.40316038807907
3161198,322931656,23160827,11,2023-10-09T22:00:00,"Bayard Rd Pittsburgh, PA 15213",N,Shadyside,4,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception. / 4120 Identity Theft,709,8,2,-79.94410648937811,40.4516616073653
3161199,322931663,23160850,0,2023-10-09T23:20:00,"3100 Block Westborn St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9998 Overdose Other,2715,1,1,-80.02876870466382,40.47367879168494
3161200,322977629,23161017,99,2023-10-10T10:05:00,"100 Block Lang Ct Pittsburgh, PA 15208",N,Point Breeze,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1406,8,3,-79.90528062121378,40.44893548512622
3161201,322999654,23161093,0,2023-10-09T14:25:00,"200 Block Paul St Pittsburgh, PA 15211",Y,Central Business District,3,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1915,,,,
3161202,324214923,22171286,15,2023-10-28T03:15:00,"8000 Block Bennett St Pittsburgh, PA 15221",Y,Homewood North,5,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 5121 Escape. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3802(a)(1) DUI - General Impairment / 3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1301,9,2,-79.8841190303238,40.45393259937531
3161203,324218113,23171345,14,2023-10-28T06:11:00,"Foreside Pl & Crawford St Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,305,6,6,-79.98542594621644,40.440234133370375
3161204,324225873,23171367,14,2023-10-28T08:00:00,"100 Block S Fairmount St Pittsburgh, PA 15206",N,Friendship,5,CRIM MISCHIEF,3304 Criminal Mischief.,807,9,2,-79.93195326818633,40.46456674045694
3161205,324234747,23171492,11,2023-10-28T12:00:00,"5900 Block Bryant Ct Pittsburgh, PA 15206",N,Highland Park,5,IDENTITY THEFT,4120 Identity Theft,1102,7,2,-79.91967443335992,40.474754457181426
3161206,324235433,23171461,11,2023-10-28T13:10:00,"20 Block Meritt Ave Pittsburgh, PA 15227",N,Carrick,3,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",2904,4,3,-79.9783443924891,40.383895082666655
3161207,324237856,23171531,0,2023-10-28T14:42:00,"Montgomery Pl & Federal St N Pittsburgh, PA 15212",N,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.00642116456196,40.45479392359298
3161208,324244201,23171671,6,2023-10-28T19:38:00,"2100 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1413,5,3,-79.92323754745422,40.433514196571934
3161209,324246290,23171704,11,2023-10-28T21:30:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Shadyside,4,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,709,8,2,-79.94928072404439,40.45255923360865
3161210,324247335,23171099,6,2023-10-27T20:57:00,"3200 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1609,2,5,-80.0503523914372,40.46151075224005
3161211,324251471,23171941,10,2023-10-29T04:18:00,"400 Block Lorenz Ave Pittsburgh, PA 15220",Y,Elliott,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2020,2,5,-80.03716216377572,40.446521055021876
3161212,323819366,23168189,5,2023-10-23T07:10:00,"1500 Block Superior Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,2715,1,1,-80.03240391629551,40.46647218784107
3161213,323822647,23168227,99,2023-10-23T08:35:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-79.99688178462712,40.43480407292362
3161214,323839612,23168335,0,2023-10-23T12:00:00,"300 Block Camfield St Pittsburgh, PA 15210",N,Bon Air,3,99,9994 PFA Service,1806,4,5,-79.99825897762277,40.407770260406586
3161215,323869086,23168384,99,2023-10-23T12:59:00,"200 Block S Negley (Friendship Academy) Ave Pittsburgh, PA 15206",N,East Liberty,5,AIDED CASE,9497 Aided Case,1115,,,,
3161216,323871529,23168411,0,2023-10-23T14:05:00,"400 Block Parklow St Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.9955694203358,40.41298892084298
3161217,323874376,23168424,6,2023-10-23T14:48:00,"7300 Block Lemington Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,1202,9,2,-79.88995287737377,40.46701762802804
3161218,323879126,23168520,0,2023-10-23T17:07:00,"2200 Block West Liberty Ave Pittsburgh, PA 15226",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1920,4,5,-80.02479036282375,40.40130551156745
3161219,323880130,23168599,99,2023-10-23T18:53:00,"E Warrington Ave & Delmont Ave Pittsburgh, PA 15210",N,Beltzhoover,3,FOUND PROPERTY,9489 Found Property,1809,3,5,-80.00478335473036,40.42080290314079
3161220,323380466,23163274,23,2023-10-15T01:50:00,"1600 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503(b.1) Criminal Trespass - Simple Trespasser,1702,3,3,-79.9826498409866,40.42875471441499
3161221,323435072,23164124,27,2023-10-15T22:00:00,"2600 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9792363290908,40.455621458038216
3161222,323436841,23164588,0,2023-10-16T19:13:00,"5000 Block Orinoco St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Dangerous Animal Complaint,1515,5,3,-79.93902841338124,40.4095968761684
3161223,323437369,23164623,0,2023-10-16T20:11:00,"S Bouquet St & Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): Dispute,405,3,3,-79.9564416068245,40.44195680414977
3161224,323438842,23164586,10,2023-10-16T19:14:00,"800 Block Ernie St Pittsburgh, PA 15220",Y,Elliott,6,HARRASSMENT,2709(a) Harassment.,2020,,,,
3161225,323449104,23164760,13,2023-10-17T03:45:00,"Copperfield Ave & Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property.,2901,4,3,-79.98738610984279,40.39623247174793
3161226,323459570,23163232,0,2023-10-14T02:05:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,AGRICULTURAL VANDALISM,3309 Driving on Roadways Laned for Traffic. / 3733 Fleeing or Attempting to Elude Police Officer / 3308 One-Way Roadways and Rotary Traffic Islands. / 3111 Obedience to Traffic-Control Devices. / 3736 Reckless Driving / 3367 Racing on Highways.,201,6,6,-79.99688178462712,40.43480407292362
3161227,323486480,23164930,0,2023-10-17T12:08:00,"Arlington Ave & Josephine St Pittsburgh, PA 15210",N,Arlington Heights,3,99,9999 9999 - (Misc. Incident): ,1604,3,3,-79.96547548303849,40.41738145825576
3161228,324761508,23176233,6,2023-11-06T03:09:00,"Brushton Ave & Forest Way Pittsburgh, PA 15221",Y,Homewood North,5,THEFT FROM AUTO,3934 Theft from Vehicle / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities,1301,9,2,-79.8879018422569,40.45603090796585
3161229,324762515,23176218,10,2023-11-06T02:55:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,TERRORISTIC THREATS,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",509,6,3,-79.97427399849045,40.44961434187343
3161230,324762754,23176248,6,2023-11-06T04:00:00,"2000 Block Jacob St Pittsburgh, PA 15210",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,3206,4,5,-79.9992681179769,40.39220787830839
3161231,324764756,23176255,0,2023-11-06T04:15:00,"1000 Block Marena St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,2,5,-80.03764384580126,40.44601699173744
3161232,324784183,23167546,5,2023-10-21T21:42:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,North Oakland,2,BURGLARY,3502 Burglary. / 3304 Criminal Mischief. / 3503(b)(1)(i) Actual Communication,103,6,6,-79.99318468129471,40.43507182089466
3161233,324796075,23176377,10,2023-11-06T11:00:00,"S 18th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,TERRORISTIC THREATS,2706 Terroristic Threats.,1702,3,3,-79.98056527347268,40.428766558291954
3161234,324797339,23176396,0,2023-11-06T12:15:00,"200 Block Dengler St Pittsburgh, PA 15210",N,Arlington,3,99,9993 PFA Service with Weapons Supplement,1603,3,3,-79.96766444316566,40.41553944521761
3161235,323625771,23166020,27,2023-10-18T08:15:00,"2000 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Overbrook,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3204,4,5,-79.99733768256591,40.39296901839161
3161236,323630258,23166063,6,2023-10-19T11:00:00,"30 Block Meritt Ave Pittsburgh, PA 15227",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2904,4,3,-79.97889387990048,40.38383203421465
3161237,323636173,23166085,99,2023-10-19T12:04:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2901,4,3,-79.98652355758374,40.39319983122647
3161238,323640436,23166097,14,2023-10-19T12:00:00,"1700 Block 5TH Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,6,3,-79.98248339028213,40.43829758092047
3161239,-3548164449,23166169,99,2023-10-19T14:43:00,"2700 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,MENTAL 201/302,9498 302 (Mental),2902,4,3,-79.97808109892492,40.3843384056868
3161240,323658790,23166226,0,2023-10-19T16:21:00,"2500 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): School Threat Follow Up,509,6,3,-79.97283253592973,40.4504453708583
3161241,323659595,23166266,0,2023-10-19T17:15:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,709,8,2,-79.93645164728059,40.45657066874426
3161242,323660851,23166342,0,2023-10-19T19:50:00,"800 Block Ernie St Pittsburgh, PA 15220",Y,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,,,,
3161243,323664094,23166242,0,2023-10-19T16:46:00,"Bernd St & Bausman St Pittsburgh, PA 15210",N,Beltzhoover,3,99,"5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",1809,3,5,-79.99703478293931,40.41417497221066
3161244,323008983,23161066,6,2023-10-10T11:50:00,"N Homewood Ave & Felicia Way Pittsburgh, PA 15208",N,Homewood South,5,THEFT FROM AUTO,3934 Theft from Vehicle,1303,9,2,-79.8964780561468,40.45694900273236
3161245,323031232,23158242,10,2023-10-10T16:56:00,"500 Block William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,,,,
3161246,323044698,23161336,10,2023-10-10T20:39:00,"Wood St & Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-80.00082992739313,40.44009712822019
3161247,323070538,23161454,17,2023-10-11T04:06:00,Zone 5,N,,5,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
3161248,323090002,23161566,14,2023-10-11T08:00:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,709,8,2,-79.94928072404439,40.45255923360865
3161249,323093549,23161586,27,2023-10-11T09:55:00,"Crosstown Blvd Ramp & I-376 Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 9504 Lost Property,201,,,,
3161250,323091728,23161573,0,2023-10-10T16:20:00,"5TH & McKee Pl Pittsburgh, PA 15213",N,West Oakland,4,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,402,3,3,-79.96027781729138,40.44046800257304
3161251,323094508,23161588,27,2023-10-10T15:40:00,"Forward Ave & Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1408,5,3,-79.92809838770275,40.42755578573999
3161252,323038994,23161183,0,2023-10-10T16:09:00,"West End Cir & W Carson St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): Accident Involving City Vehicle PPW / 3736 Reckless Driving,2019,,,,
3161253,323107196,23161625,6,2023-10-11T08:30:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2304,1,1,-79.99867967214155,40.45221882271537
3161254,323111192,23161681,10,2023-10-11T14:00:00,"6400 Block Navarro St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,HARRASSMENT,2709 Harassment (Non-Specific),1203,9,2,-79.90362761796352,40.46965650924889
3161255,324253634,23171880,9,2023-10-29T02:29:00,"1200 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1702,3,3,-79.98621319665266,40.42858285987488
3161256,324256345,23166642,17,2023-10-17T14:33:00,Zone 1,Y,,1,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
3161257,324258607,23164385,10,2023-10-13T17:24:00,"800 Block Arch St Pittsburgh, PA 15212",N,Allegheny Center,1,HARRASSMENT,2709(a) Harassment.,2204,1,1,-80.00911402325106,40.45319007117329
3161258,324260859,23166643,10,2023-10-20T09:24:00,"500 Block Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT,2709(a) Harassment.,2615,6,1,-80.01669411551083,40.471005133876794
3161259,324261181,23172044,6,2023-10-29T09:30:00,"Ophelia St & Lawn St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96577404988031,40.435747647646096
3161260,324261191,23171487,6,2023-10-28T13:14:00,"5900 Block Centre Ave Pittsburgh, PA ",N,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",705,,,,
3161261,324262779,23171601,0,2023-10-28T18:05:00,"300 Block E Elizabeth St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Child Custody,1515,5,3,-79.9472120826774,40.40656849017254
3161262,324268332,23172177,9,2023-10-28T18:00:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,4,FORGERY,4101 Forgery. / 3922 Theft by Deception.,1702,3,3,-79.97643264287119,40.43034081399975
3161263,324272152,23172296,6,2023-10-29T20:41:00,"900 Block Benton Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2708,1,1,-80.03448678686314,40.489063165792054
3161264,324272427,23172166,0,2023-10-29T16:09:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,2509,6,1,-80.00698339373714,40.46031055249301
3161265,323886599,23166856,0,2023-10-20T18:51:00,"Liberty Brg Pittsburgh, PA 15203",Y,South Side Slopes,3,99,1786 Required Financial Responsibility.,1706,,,,
3161266,323888410,23166802,6,2023-10-18T09:00:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4101 Forgery.,1918,4,5,-80.01918980614472,40.39287943759868
3161267,323902127,23168773,99,2023-10-24T06:05:00,"200 Block N Beatty St Pittsburgh, PA 15206",N,Homewood North,5,MENTAL 201/302,9498 302 (Mental),1301,,,,
3161268,323912357,23167958,0,2023-10-22T16:00:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9999 9999 - (Misc. Incident): verbal argument,2507,6,1,-80.01656850562077,40.45687440924445
3161269,323924026,23168071,0,2023-10-22T21:52:00,"1700 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): ,305,6,3,-79.98248339028213,40.43829758092047
3161270,323949403,23168985,14,2023-10-23T23:00:00,"3300 Block Webster Aly Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506,6,3,-79.9645154008401,40.45284249362212
3161271,323961673,23168949,99,2023-10-24T12:26:00,"300 Block Waterfront Dr Pittsburgh, PA 15222",N,Troy Hill,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2406,1,6,-79.97625114045327,40.466861468199646
3161272,323968048,23169117,0,2023-10-24T17:35:00,"400 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.99932299068531,40.438786987511165
3161273,323969719,23169124,18,2023-10-24T17:40:00,"2000 Block Wyandotte St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY - OTHER,"13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",305,6,3,-79.97759790381808,40.43826361769635
